,answer,ans_grth
29,"Pasal 10 dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 42/POJK.04/2020 tentang Transaksi Afiliasi dan Transaksi Benturan Kepentingan mengatur mengenai uraian mengenai Transaksi Afiliasi yang wajib memuat paling sedikit:

1. Tanggal transaksi;
2. Objek transaksi;
3. Nilai transaksi;
4. Nama pihak yang melakukan transaksi dan hubungan dengan Perusahaan Terbuka; dan
5. Sifat hubungan Afiliasi dari pihak yang melakukan transaksi dengan Perusahaan Terbuka.","
uraian mengenai Transaksi Afiliasi, memuat paling sedikit: 1. tanggal transaksi; 2. objek transaksi; 3. nilai transaksi; 4. nama pihak yang melakukan transaksi dan hubungan dengan Perusahaan Terbuka; dan 5. sifat hubungan Afiliasi dari pihak yang melakukan transaksi dengan Perusahaan Terbuka;"
30,"Fakta Material mengacu pada informasi atau fakta penting dan relevan mengenai peristiwa, kejadian, atau fakta yang dapat mempengaruhi harga Efek pada Bursa Efek dan/atau keputusan pemodal, calon pemodal, atau pihak lain yang berkepentingan atas informasi atau fakta tersebut. Definisi ini sesuai dengan ketentuan dalam Peraturan Otoritas Jasa Keuangan Nomor 31/POJK.04/2015 dan Peraturan Otoritas Jasa Keuangan Nomor 43/POJK.04/2020.","
Fakta Material adalah informasi atau fakta penting dan relevan mengenai peristiwa, kejadian, atau fakta yang dapat mempengaruhi harga Efek pada bursa Efek dan/atau keputusan pemodal, calon pemodal, atau pihak lain yang berkepentingan atas informasi atau fakta tersebut."
31,Peraturan Otoritas Jasa Keuangan Nomor 75/POJK.04/2017 tentang Tanggung Jawab Direksi atas Laporan Keuangan berlaku untuk direksi perusahaan yang terdaftar di pasar modal di Indonesia. Peraturan ini mengatur tanggung jawab direksi atas laporan keuangan perusahaan dan mencabut serta menyatakan tidak berlaku Keputusan Ketua Badan Pengawas Pasar Modal Nomor Kep-40/PM/2003 tentang Tanggung Jawab Direksi atas Laporan Keuangan.,"
a. Emiten Skala Kecil dan Emiten Skala Menengah, yang nilai rata-rata kapitalisasi pasar selama jangka waktu 1 (satu) tahun sebelum berakhirnya periode laporan keuangan tahunan terakhir tidak lebih dari Rp250.000.000.000,00 (dua ratus lima puluh miliar rupiah); dan b. Perusahaan Publik, yang memenuhi kriteria aset dan pengendalian sebagaimana dimaksud dalam Pasal 1 angka 7 dan Pasal 1 angka 8, berdasarkan laporan keuangan tahunan terakhir yang diaudit."
32,Emiten Skala Kecil dan Emiten Skala Menengah wajib memiliki paling sedikit 1 (satu) komisaris independen. Hal ini diatur dalam Pasal 5 dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 43/POJK.04/2020 tentang Kewajiban Keterbukaan Informasi dan Tata Kelola Perusahaan Bagi Emiten atau Perusahaan Publik yang Memenuhi Kriteria Emiten dengan Aset Skala Kecil dan Emiten dengan Aset Skala Menengah.,"
Emiten Skala Kecil dan Emiten Skala Menengah wajib memiliki paling sedikit 1 (satu) komisaris independen."
33,Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek wajib melakukan pengumuman kepada masyarakat melalui Situs Web Emiten dan Situs Web bursa. Hal ini diatur dalam Pasal 10 ayat (2) huruf b Peraturan Otoritas Jasa Keuangan Nomor 43/POJK.04/2020.,"
Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek wajib melakukan: - 9 - a. pengumuman atas Laporan Keuangan Berkala sebagaimana diatur dalam Peraturan Otoritas Jasa Keuangan mengenai penyampaian laporan keuangan berkala Emiten atau Perusahaan Publik; b. keterbukaan informasi sebagaimana dimaksud dalam Pasal 7; dan c. pengumuman Informasi atau Fakta Material sebagaimana diatur dalam Peraturan Otoritas Jasa Keuangan mengenai Keterbukaan atas Informasi atau Fakta Material oleh Emiten atau Perusahaan Publik, paling sedikit melalui: 1. Situs Web Emiten Skala Kecil atau Emiten Skala Menengah; dan 2. Situs Web bursa Efek. (2) Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tidak tercatat di bursa Efek wajib melakukan: a. pengumuman atas Laporan Keuangan Berkala sebagaimana dimaksud dalam dalam Peraturan Otoritas Jasa Keuangan mengenai penyampaian laporan keuangan berkala Emiten atau Perusahaan Publik; b. keterbukaan informasi sebagaimana dimaksud dalam Pasal 7; dan c. pengumuman Informasi atau Fakta Material sebagaimana diatur dalam Peraturan Otoritas Jasa Keuangan mengenai Keterbukaan atas Informasi atau Fakta Material oleh Emiten atau Perusahaan Publik, paling sedikit melalui: 1. Situs Web Emiten Skala Kecil atau Emiten Skala Menengah; dan 2. surat kabar harian berbahasa Indonesia yang berperedaran nasional atau Situs Web yang disediakan Otoritas Jasa Keuangan."
34,"Pada Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 17/POJK.04/2020 tentang Transaksi Material dan Perubahan Kegiatan Usaha, pemberlakuan ketentuan pengumuman melalui Situs Web yang disediakan oleh Otoritas Jasa Keuangan ditetapkan dalam Pasal 28.","
Pemberlakuan ketentuan pengumuman melalui Situs Web yang disediakan oleh Otoritas Jasa Keuangan sebagaimana - 10 - dimaksud dalam Pasal 10 ayat (2) angka 2 ditetapkan oleh Otoritas Jasa Keuangan"
35,"Selain sanksi administratif, Otoritas Jasa Keuangan (OJK) juga dapat melakukan tindakan tertentu terhadap setiap pihak yang melakukan pelanggaran ketentuan Peraturan Otoritas Jasa Keuangan yang berlaku. Tindakan tertentu tersebut dapat berupa pengumuman pengenaan sanksi administratif dan tindakan tertentu kepada masyarakat, pengembalian keuntungan yang diperoleh atau kerugian yang dihindari secara tidak sah, pembayaran ganti kerugian kepada pihak tertentu, pembekuan atau pembatalan hak dan manfaat, pembatasan untuk melaksanakan kegiatan tertentu, dan/atau tindakan tertentu lainnya sesuai dengan ketentuan yang berlaku. Hal ini diatur dalam Pasal 7 dari POJK Nomor 23/POJK.04/2017 tentang Prospektus Awal dan Info Memo, Pasal 8 dari POJK Nomor 76/POJK.04/2017 tentang Penawaran Umum oleh Pemegang Saham, Pasal 94 dari POJK Nomor 3/POJK.04/2021 tentang Penyelenggaraan Kegiatan di Bidang Pasar Modal, dan Pasal 31 dari POJK Nomor 22/POJK.04/2019 tentang Transaksi Efek.","
Selain sanksi administratif sebagaimana dimaksud dalam Pasal 15 ayat (4), Otoritas Jasa Keuangan dapat melakukan tindakan tertentu terhadap setiap pihak yang melakukan pelanggaran ketentuan Peraturan Otoritas Jasa Keuangan ini."
36,"Perusahaan Publik adalah perseroan yang sahamnya telah dimiliki paling sedikit oleh 300 (tiga ratus) pemegang saham dan memiliki modal disetor paling sedikit Rp3.000.000.000,00 (tiga miliar rupiah) atau suatu jumlah pemegang saham dan modal disetor yang ditetapkan oleh Otoritas Jasa Keuangan. Hal ini diatur dalam Peraturan Otoritas Jasa Keuangan Nomor 42/POJK.04/2020 tentang Transaksi Afiliasi dan Transaksi Benturan Kepentingan pada Pasal 1 ayat 13.","
Selain sanksi administratif sebagaimana dimaksud dalam Pasal 15 ayat (4), Otoritas Jasa Keuangan dapat melakukan tindakan tertentu terhadap setiap pihak yang melakukan pelanggaran ketentuan Peraturan Otoritas Jasa Keuangan ini."
37,"Situs web adalah sebuah halaman atau kumpulan halaman yang terletak di sebuah alamat elektronik tertentu (URL) di World Wide Web (WWW) yang dapat diakses melalui internet. Dalam konteks regulasi di Indonesia, pengertian situs web juga dapat merujuk pada halaman web yang disediakan oleh Penyedia Sistem Penawaran Umum Elektronik sesuai dengan Pasal 3 huruf c dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 41/POJK.04/2020 tentang Pelaksanaan Kegiatan Penawaran Umum Efek Bersifat Ekuitas, Efek Bersifat Utang, dan/atau Sukuk secara Elektronik.","
Situs Web adalah kumpulan halaman web yang memuat informasi atau data yang dapat diakses melalui suatu sistem jaringan internet."
38,"Dalam konteks regulasi terbaru, yaitu Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan, Sistem Keuangan didefinisikan sebagai suatu kesatuan yang terdiri atas lembaga jasa keuangan, pasar keuangan, dan infrastruktur keuangan, termasuk sistem pembayaran, yang berinteraksi dalam memfasilitasi pengumpulan dana masyarakat dan pengalokasiannya untuk mendukung aktivitas perekonomian nasional, serta korporasi dan rumah tangga yang terhubung dengan lembaga jasa keuangan. Hal ini diatur dalam Pasal 1 angka 1 Undang-Undang tersebut.","
Sistem Keuangan adalah suatu kesatuan yang terdiri atas lembaga jasa keuangan, pasar keuangan, dan infrastruktur keuangan, termasuk sistem pembayaran, yang berinteraksi dalam memfasilitasi pengumpulan dana masyarakat dan pengalokasiannya untuk mendukung aktivitas perekonomian nasional, serta korporasi dan rumah tangga yang terhubung dengan lembaga jasa keuangan."
39,Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan didasarkan pada asas-asas perekonomian Pancasila. (Pasal 5),"
Undang-Undang ini dilaksanakan berdasarkan asas: a. kepentingan nasional; b. kemanfaatan; c. kepastian hukum; d. keterbukaan; e. akuntabilitas; e. akuntabilitas; f. keadilan; g. Pelindungan Konsumen; h. edukasi; dan i. keterpaduan."
40,"Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan bertujuan untuk mengatur dan mengembangkan sektor keuangan guna menciptakan stabilitas sistem keuangan, mendukung aktivitas perekonomian nasional, serta memfasilitasi pengumpulan dan pengalokasian dana masyarakat secara efisien. Undang-Undang ini juga bertujuan untuk meningkatkan perlindungan terhadap konsumen jasa keuangan, memperkuat tata kelola sektor keuangan, serta mendorong inklusi keuangan bagi seluruh lapisan masyarakat, termasuk usaha mikro, kecil, dan menengah.","
(1) Undang-Undang ini dibentuk dengan maksud mendorong kontribusi sektor keuangan bagi pertumbuhan ekonorni yang inklusif, berkelanjutan, dan berkeadilan guna meningkatkan taraf hidup masyarakat, mengurangi ketimpangan ekonomi, dan mewujudkan Indonesia yang sejahtera, maju, dan bermartabat. (21 Undang-Undang ini dibentuk dengan tujuan untuk: a. mengoptimalkan fungsi intermediasi sektor keuangan kepada usaha sektor produktif; b. meningkatkan portofolio pendanaan terhadap sektor usaha yang produktif; c. meningkatkan kemudahan akses dan literasi terkait jasa keuangan; d. meningkatkan dan memperluas inklusi sektor keuangan; e. memperluas sumber pembiayaan jangka panjang; f. meningkatkan daya saing dan efisiensi sektor keuangan; g. mengembangkan instrumen di pasar keuangan dan memperkuat mitigasi risiko; h. meningkatkan pembinaan, pengawasa.n, dan Pelindungan Konsumen; i. memperkuat pelindungan atas data pribadi nasabah sektor keuangan; j. memperkuat kelembagaan dan ketahanan Stabilitas Sistem Keuangan; k. mengembangkan dan memperkuat ekosistem sektor keuangan; 1. memperkuat wewenang, tanggung jawab, tugas, dan fungsi regulator sektor keuangan; dan m. meningkatkan daya saing masyarakat sehingga dapat berusaha secara efektif dan efisien."
41,"Ruang lingkup Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan meliputi penyelenggaraan layanan jasa keuangan, pengelolaan dana pensiun, inovasi teknologi sektor keuangan, keuangan berkelanjutan, inklusi keuangan, sistem keuangan, stabilitas sistem keuangan, Dewan Perwakilan Rakyat (DPR), usaha mikro, kecil, dan menengah, profesi sektor keuangan, pelaku profesi sektor keuangan, dan profesi penunjang sektor keuangan.","
ruang lingkup dalam Undang-Undang ini mengatur ekosistem sektor keuangan meliputi: a. kelembagaan; b. perbankan; c. Pasar Modal, Pasar Uang, dan Pasar Valuta Asing; d. perasuransian dan penjaminan; e. asuransi Usaha Bersama; f. program penjaminan polis; g. Usaha Jasa Pembiayaan; h. kegiatan usaha bulion (bullionl; i. Dana Pensiun, program jaminan hari tua, dan program pensiun; j. kegiatan koperasi di sektor jasa keuangan; k. lembaga keuangan mikro; l. Konglomerasi Keuangan; m. ITSK; n. penerapan Keuangan Berkelanjutan; o. Literasi Keuangan, Inklusi Keuangan, dan Pelindungan Konsumen; p. akses pembiayaan Usaha Mikro, Kecil, dan Menengah; q. sumber daya manusia; r. Stabilitas Sistem Keuangan; s. lembaga pembiayaan ekspor Indonesia; dan t. penegakan hukum di sektor keuangan."
42,"Bank Indonesia adalah lembaga negara yang independen dalam melaksanakan tugas dan wewenangnya, bebas dari campur tangan Pemerintah dan/atau pihak lain, kecuali untuk hal yang secara tegas diatur dalam Undang-Undang Nomor 23 Tahun 1999 tentang Bank Indonesia sebagaimana telah beberapa kali diubah, terakhir dengan Undang-Undang Nomor 6 Tahun 2009 tentang Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2008 tentang Perubahan Kedua atas Undang-Undang Nomor 23 Tahun 1999 tentang Bank Indonesia Menjadi Undang-Undang. Salah satu tujuan Bank Indonesia adalah untuk melaksanakan tugas dan wewenangnya sebagai lembaga negara yang independen dalam menjaga stabilitas sistem keuangan dan nilai mata uang Rupiah.","
Tujuan Bank Indonesia adalah mencapai stabilitas nilai rupiah, memelihara stabilitas Sistem Pembayaran, dan turut menjaga Stabilitas Sistem Keuangan dalam rangka mendukung pertumbuhan ekonomi yang berkelanjutan."
43,"Regulasi yang mengatur mengenai penyimpanan kekayaan Reksa Dana dan Efek oleh Bank Kustodian adalah Undang-Undang Nomor 8 Tahun 1995. Hal ini diatur dalam Pasal 26 ayat (1) dan ayat (2) yang menyatakan bahwa kontrak penyimpanan kekayaan Reksa Dana berbentuk Perseroan dibuat oleh direksi Reksa Dana dengan Bank Kustodian, sedangkan kontrak penyimpanan kekayaan investasi kolektif dibuat antara Manajer Investasi dan Bank Kustodian. Ketentuan lebih lanjut terkait hal ini diatur oleh Bapepam.

Selain itu, terdapat penjelasan terkait kewajiban penyimpanan kekayaan Reksa Dana pada Bank Kustodian untuk mengamankan kekayaan Reksa Dana dan pemisahan fungsi penyimpanan yang dilakukan oleh Bank Kustodian dan fungsi pengelolaan yang dilakukan oleh Manajer Investasi. Hal ini diatur dalam Penjelasan Undang-Undang Nomor 8 Tahun 1995 Pasal 25 ayat (1) dan ayat (2).

Regulasi terkait penitipan Efek oleh Kustodian juga diatur dalam Undang-Undang Nomor 8 Tahun 1995 Pasal 44 yang menyatakan bahwa Kustodian bertanggung jawab untuk menyimpan Efek milik pemegang rekening dan memenuhi kewajiban lain sesuai dengan kontrak antara Kustodian dan pemegang rekening.

Sementara itu, terkait dengan penarikan dana dan atau Efek dalam Rekening Efek pada Lembaga Penyimpanan dan Penyelesaian, diatur dalam Penjelasan Undang-Undang Nomor 8 Tahun 1995 Pasal 59 ayat (1) yang menyatakan bahwa pemegang rekening yang bersangkutan dapat menarik dana dan atau Efek tersebut sewaktu-waktu berdasarkan ketentuan yang ada. Sedangkan ayat (2) dan ayat (3) menjelaskan tentang pemblokiran, pembekuan, atau penjaminan atas rekening Efek yang dapat mengakibatkan tidak dapatnya dana dan atau Efek ditarik atau dimutasikan.

Mohon maaf, informasi lebih lanjut terkait deposito tidak terdapat dalam konteks yang diberikan.","
""Deposito adalah Simpanan berdasarkan Akad
mudharabah atau Akad lain yang tidak bertentangan
dengan Prinsip Syariah yang penarikannya hanya
dapat dilakukan pada waktu tertentu berdasarkan
Akad antara Nasabah Penyimpan dan Bank Syariah
dan/atau UUS."
44,"Otoritas Jasa Keuangan (OJK) adalah lembaga independen yang memiliki fungsi, tugas, dan wewenang dalam pengaturan, pengawasan, pemeriksaan, dan penyidikan di sektor jasa keuangan sesuai dengan Undang-Undang yang mengatur tentang OJK. Hal ini diatur dalam Pasal 1 Peraturan OJK Nomor 23/POJK.01/2019 tentang Perubahan atas Peraturan OJK Nomor 12/POJK.01/2017.","""
Otoritas Jasa Keuangan adalah lembaga negara yang independen yang mempunyai fungsi, tugas, dan wewenang pengaturan, pengawasan, pemeriksaan, dan penyidikan sebagaimana dimaksud dalam undang-undang mengenai Otoritas Jasa Keuangan."
45,"Larangan bagi Perusahaan Efek atau Penasihat Investasi berdasarkan Undang-Undang No.8 Tahun 1995 Pasal 35 adalah sebagai berikut:

a. Menggunakan pengaruh atau mengadakan tekanan yang bertentangan dengan kepentingan nasabah.
b. Mengungkapkan nama atau kegiatan nasabah tanpa instruksi tertulis dari nasabah atau tanpa keharusan menurut peraturan perundang-undangan yang berlaku.
c. Mengemukakan secara tidak benar atau tidak mengemukakan fakta yang material kepada nasabah mengenai kemampuan usaha atau keadaan keuangannya.
d. Merekomendasikan kepada nasabah untuk membeli atau menjual Efek tanpa memberitahukan adanya kepentingan Perusahaan Efek dan Penasihat Investasi dalam Efek tersebut.","
Perusahaan Efek atau Penasihat Investasi dilarang: a. menggunakan pengaruh atau mengadakan tekanan yang bertentangan dengan kepentingan nasabah; b. mengungkapkan… b. mengungkapkan nama atau kegiatan nasabah, kecuali diberi instruksi secara tertulis oleh nasabah atau diwajibkan menurut peraturan perundang-undangan yang berlaku; c. mengemukakan secara tidak benar atau tidak mengemukakan fakta yang material kepada nasabah mengenai kemampuan usaha atau keadaan keuangannya; d. merekomendasikan kepada nasabah untuk membeli atau menjual Efek tanpa memberitahukan adanya kepentingan Perusahaan Efek dan Penasihat Investasi dalam Efek tersebut; atau e. membeli atau memiliki Efek untuk rekening Perusahaan Efek itu sendiri atau untuk rekening Pihak terafiliasi jika terdapat kelebihan permintaan beli dalam Penawaran Umum dalam hal Perusahaan Efek tersebut bertindak sebagai Penjamin Emisi Efek atau agen penjualan, kecuali pesanan Pihak yang tidak terafiliasi telah terpenuhi seluruhnya."
46,"Kewajiban Perusahaan Efek atau Penasihat Investasi berdasarkan Undang-Undang No.8 Tahun 1995 Pasal 36 adalah:

a. Mengetahui latar belakang, keadaan keuangan, dan tujuan investasi nasabahnya; dan

b. Membuat dan menyimpan catatan dengan baik mengenai pesanan, transaksi, dan kondisi keuangannya.","
a. mengetahui latar belakang, keadaan keuangan, dan tujuan investasi nasabahnya; dan b. membuat dan menyimpan catatan dengan baik mengenai pesanan, transaksi, dan kondisi keuangannya"
47,"Kustodian adalah pihak yang bertanggung jawab atas penyimpanan dan administrasi efek dalam Penitipan Kolektif. Dalam konteks regulasi di Indonesia, definisi kustodian dapat ditemukan dalam Undang-Undang No.8 Tahun 1995 tentang Pasar Modal, khususnya dalam BAB VII tentang Penyelesaian Transaksi Bursa dan Penitipan Kolektif, Pasal 58. Pasal 58 menyatakan bahwa kustodian wajib mencatat mutasi kepemilikan Efek dalam Penitipan Kolektif dengan menambah dan mengurangi Efek pada masing-masing rekening Efek.","
Kustodian adalah Pihak yang memberikan jasa penitipan Efek dan harta lain yang berkaitan dengan Efek serta jasa lain, termasuk menerima dividen, bunga, dan hak-hak lain, menyelesaikan transaksi Efek, dan mewakili pemegang rekening yang menjadi nasabahnya."
48,Tujuan dari Bursa Efek adalah untuk menyediakan sistem dan/atau sarana perdagangan Efek yang dapat dilakukan oleh Perusahaan Efek yang melakukan kegiatan sebagai Perantara Pedagang Efek. Pemegang saham Bursa Efek dibatasi hanya pada Perusahaan Efek yang telah memperoleh izin usaha dari Bapepam sebagai Perantara Pedagang Efek. Hal ini sesuai dengan Undang-Undang No.8 Tahun 1995 Pasal 8.,"
Bursa Efek didirikan dengan tujuan menyelenggarakan perdagangan Efek yang teratur, wajar, dan efisie"
49,"Berdasarkan informasi yang diberikan, yang dapat menyelenggarakan kegiatan usaha sebagai kustodian adalah Bank Umum dan pihak lain yang ditetapkan dengan Peraturan Pemerintah, sebagaimana diatur dalam Undang-Undang No.8 Tahun 1995, BAB VI Pasal 50 ayat (1). Dalam hal ini, Bank Umum atau pihak lain yang ditetapkan harus terlebih dahulu terdaftar di Bapepam, sesuai dengan ketentuan yang diatur dalam undang-undang tersebut.","
Yang dapat menyelenggarakan kegiatan usaha sebagai Kustodian adalah Lembaga Penyimpanan dan Penyelesaian, Perusahaan Efek, atau Bank Umum yang telah mendapat persetujuan Bapepam."
