,q,ch,a,answer_mcq,score,score_by_ai,
36,Kapan Perusahaan Terbuka dapat memintakan persetujuan RUPS kembali untuk Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang tidak disetujui oleh Pemegang Saham Independen?,"A) Setelah 6 bulan sejak pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.
B) Setiap saat tanpa batasan waktu.
C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.
D) Setelah mendapatkan persetujuan dari Otoritas Jasa Keuangan.",C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.,"Perusahaan Terbuka dapat memintakan persetujuan RUPS kembali untuk Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang tidak disetujui oleh Pemegang Saham Independen paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut. Hal ini sesuai dengan Pasal 18 ayat (1) dalam Peraturan Otoritas Jasa Keuangan. Oleh karena itu, jawabannya adalah:

C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.",1,1,
37,Apa yang diwajibkan oleh Perusahaan Terbuka dalam hal pengumuman Transaksi Afiliasi dan/atau Transaksi Benturan Kepentingan jika sahamnya tercatat pada bursa efek?,"A) Pengumuman melalui Situs Web Perusahaan Terbuka saja.
B) Pengumuman melalui Situs Web Perusahaan Terbuka dan 1 (satu) surat kabar harian berbahasa Indonesia.
C) Pengumuman melalui Situs Web Perusahaan Terbuka dan Situs Web bursa efek.
D) Pengumuman melalui Surat Kabar Nasional saja.",C) Pengumuman melalui Situs Web Perusahaan Terbuka dan Situs Web bursa efek.,"Dalam hal pengumuman Transaksi Afiliasi dan/atau Transaksi Benturan Kepentingan bagi Perusahaan Terbuka yang sahamnya tercatat pada bursa efek, Perusahaan Terbuka wajib melakukan pengumuman melalui Situs Web Perusahaan Terbuka dan Situs Web bursa efek. Oleh karena itu, jawabannya adalah C) Pengumuman melalui Situs Web Perusahaan Terbuka dan Situs Web bursa efek.",1,1,
38,Kapan bukti pengumuman Transaksi Afiliasi dan/atau Transaksi Benturan Kepentingan yang dilakukan melalui surat kabar harian harus disampaikan kepada Otoritas Jasa Keuangan?,"A) Paling lambat 1 (satu) hari setelah tanggal pengumuman.
B) Paling lambat 2 (dua) hari setelah tanggal pengumuman.
C) Pada saat pelaksanaan RUPS.
D) Bukti pengumuman tidak perlu disampaikan.",B) Paling lambat 2 (dua) hari setelah tanggal pengumuman.,Bukti pengumuman Transaksi Afiliasi dan/atau Transaksi Benturan Kepentingan yang dilakukan melalui surat kabar harian harus disampaikan kepada Otoritas Jasa Keuangan paling lambat 2 (dua) hari setelah tanggal pengumuman tersebut. Hal ini sesuai dengan Pasal 19 ayat (3) dalam Peraturan Otoritas Jasa Keuangan.,1,0,
39,Apakah yang dapat menjadi sanksi administratif yang dikenakan oleh Otoritas Jasa Keuangan berdasarkan Pasal 27?,"A) Pemberian penghargaan.
B) Peringatan tertulis, denda, pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, pembatalan pendaftaran.
C) Bebas dari sanksi.
D) Delegasi wewenang.","B) Peringatan tertulis, denda, pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, pembatalan pendaftaran.","Berdasarkan Pasal 27, sanksi administratif yang dapat dikenakan oleh Otoritas Jasa Keuangan adalah:
B) Peringatan tertulis, denda, pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, pembatalan pendaftaran.",1,1,
40,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" dalam Peraturan Otoritas Jasa Keuangan ini?","A) Pihak yang melakukan Penawaran Umum efek bersifat ekuitas.
B) Perseroan yang sahamnya dimiliki oleh lebih dari 300 pemegang saham dan memiliki modal disetor paling sedikit Rp3.000.000.000,00.
C) Emiten dengan Aset Skala Menengah.
D) Emiten yang memiliki total aset lebih dari Rp50.000.000.000,00.",A) Pihak yang melakukan Penawaran Umum efek bersifat ekuitas.,"Dalam Peraturan Otoritas Jasa Keuangan, ""Perusahaan Terbuka"" adalah A) Pihak yang melakukan Penawaran Umum efek bersifat ekuitas. Hal ini sesuai dengan ketentuan yang terdapat dalam Peraturan Otoritas Jasa Keuangan yang telah disebutkan sebelumnya.",1,1,
41,"Apa yang dianggap sebagai ""Laporan Keuangan Berkala"" dalam konteks Peraturan Otoritas Jasa Keuangan ini?","A) Laporan pertanggungjawaban direksi dan dewan komisaris.
B) Laporan tahunan.
C) Laporan keuangan tahunan dan laporan keuangan tengah tahunan Emiten atau Perusahaan Publik.
D) Laporan keuangan tengah tahunan saja.",C) Laporan keuangan tahunan dan laporan keuangan tengah tahunan Emiten atau Perusahaan Publik.,"Dalam konteks Peraturan Otoritas Jasa Keuangan, yang dianggap sebagai ""Laporan Keuangan Berkala"" adalah:

C) Laporan keuangan tahunan dan laporan keuangan tengah tahunan Emiten atau Perusahaan Publik.",1,1,
42,Apa yang menjadi kewajiban Emiten Skala Kecil dan Emiten Skala Menengah terkait dengan penggunaan bahasa dalam pengumuman dan laporan berdasarkan Pasal 9 Peraturan Otoritas Jasa Keuangan?,"A) Menggunakan paling sedikit bahasa Indonesia dalam semua informasi dan laporan.
B) Menggunakan bahasa asing dalam pengumuman dan laporan.
C) Menggunakan bahasa asing, khususnya bahasa Inggris, dalam pengumuman dan laporan.
D) Menggunakan bahasa asing dengan syarat informasi yang sama juga disajikan dalam bahasa Indonesia.","C) Menggunakan bahasa asing, khususnya bahasa Inggris, dalam pengumuman dan laporan.","Berdasarkan Pasal 9 Peraturan Otoritas Jasa Keuangan, kewajiban Emiten Skala Kecil dan Emiten Skala Menengah terkait dengan penggunaan bahasa dalam pengumuman dan laporan adalah:

D) Menggunakan bahasa asing dengan syarat informasi yang sama juga disajikan dalam bahasa Indonesia. (Pasal 9 ayat 3)",1,0,
43,Apa yang menjadi kewajiban Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek terkait dengan pengumuman dan keterbukaan informasi?,"A) Melakukan pengumuman hanya melalui Situs Web Emiten.
B) Melakukan pengumuman melalui Situs Web Emiten dan Situs Web bursa Efek.
C) Melakukan pengumuman melalui Situs Web Emiten dan surat kabar harian berbahasa Indonesia.
D) Melakukan pengumuman melalui surat kabar harian berbahasa Indonesia saja.",B) Melakukan pengumuman melalui Situs Web Emiten dan Situs Web bursa Efek.,Kewajiban Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek terkait dengan pengumuman dan keterbukaan informasi adalah B) Melakukan pengumuman melalui Situs Web Emiten dan Situs Web bursa Efek. Hal ini diatur dalam Pasal 10 ayat (1) huruf b dari Peraturan Otoritas Jasa Keuangan.,1,1,
44,Bagaimana cara Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek harus membuat pengumuman terkait Laporan Keuangan Berkala?,"A) Hanya melalui Situs Web Emiten
B) Melalui Situs Web Emiten dan surat kabar harian
C) Melalui Situs Web Emiten dan Situs Web bursa Efek
D) Melalui konferensi pers",C) Melalui Situs Web Emiten dan Situs Web bursa Efek,Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek harus membuat pengumuman terkait Laporan Keuangan Berkala melalui Situs Web Emiten dan Situs Web bursa Efek. Hal ini sesuai dengan ketentuan dalam Peraturan Otoritas Jasa Keuangan tentang Keterbukaan atas Informasi atau Fakta Material oleh Emiten atau Perusahaan Publik. Pasal yang mengatur hal ini adalah Pasal 11 dari regulasi tersebut.,1,0,
45,Kapan Emiten Skala Kecil dan Emiten Skala Menengah dapat mengadakan Rapat Umum Pemegang Saham baru setelah penolakan Transaksi Afiliasi atau Transaksi Benturan Kepentingan?,"A) Secara langsung setelah penolakan
B) Setelah masa tunggu 6 bulan
C) Setelah masa tunggu 12 bulan
D) Hanya jika disetujui oleh Otoritas Jasa Keuangan",C) Setelah masa tunggu 12 bulan,"Emiten Skala Kecil dan Emiten Skala Menengah dapat mengadakan Rapat Umum Pemegang Saham setelah penolakan Transaksi Afiliasi atau Transaksi Benturan Kepentingan setelah masa tunggu 6 bulan. Hal ini diatur dalam Peraturan Otoritas Jasa Keuangan Nomor 17/POJK.04/2019 pada Pasal 4 ayat (4) yang menyatakan bahwa Emiten Skala Kecil dan Emiten Skala Menengah yang melakukan Penawaran Umum Efek bersifat ekuitas dapat melakukan transaksi material dan transaksi afiliasi tanpa menggunakan penilai, kecuali transaksi material dan transaksi afiliasi yang memerlukan persetujuan Rapat Umum Pemegang Saham (RUPS).",0,0,
46,Apa tujuan utama pendirian Lembaga Kliring dan Penjaminan (LKP) dan Lembaga Penyimpanan dan Penyelesaian (LPP)?,"A) Menyediakan layanan perbankan
B) Menawarkan saran investasi
C) Mengatur pasar saham
D) Memfasilitasi kliring dan penyelesaian efisien Transaksi Efek",D) Memfasilitasi kliring dan penyelesaian efisien Transaksi Efek,"Tujuan utama pendirian Lembaga Kliring dan Penjaminan (LKP) dan Lembaga Penyimpanan dan Penyelesaian (LPP) adalah memfasilitasi kliring dan penyelesaian efisien Transaksi Efek. Hal ini sesuai dengan Pasal 14 ayat (1) Peraturan Otoritas Jasa Keuangan yang menyatakan bahwa LKP didirikan dengan tujuan menyediakan sarana kliring dan/atau penjaminan penyelesaian Transaksi Efek yang teratur, wajar, dan efisien, sedangkan LPP didirikan dengan tujuan menyediakan jasa Kustodian sentral dan penyelesaian transaksi yang teratur, wajar, dan efisien.",1,0,
47,Siapakah yang dapat melakukan kegiatan usaha sebagai Wali Amanat?,"A). Bank Umum dan Pihak lain yang ditetapkan dengan Peraturan Pemerintah.
B). Hanya Pihak lain yang ditetapkan dengan Peraturan Pemerintah.
C). Hanya Bank umum.
D). Semua lembaga keuangan.",A). Bank Umum dan Pihak lain yang ditetapkan dengan Peraturan Pemerintah.,"Bank Umum dan Pihak lain yang ditetapkan dengan Peraturan Pemerintah dapat melakukan kegiatan usaha sebagai Wali Amanat. Jadi, jawabannya adalah A). Bank Umum dan Pihak lain yang ditetapkan dengan Peraturan Pemerintah. Hal ini sesuai dengan Pasal 51 Ayat (1) dari Peraturan Pemerintah yang mengatur tentang kegiatan usaha sebagai Wali Amanat.",1,0,
48,Siapakah yang bertanggung jawab atas kerugian akibat informasi yang tidak benar atau tidak memuat informasi tentang Fakta Material dalam Prospektus?,"A). Hanya pembeli Efek.
B). Baik pembeli Efek maupun pihak yang menawarkan atau menjual Efek.
C). Hanya pihak yang menawarkan atau menjual Efek.
D). Tidak ada yang bertanggung jawab.",B). Baik pembeli Efek maupun pihak yang menawarkan atau menjual Efek.,"B). Baik pembeli Efek maupun pihak yang menawarkan atau menjual Efek.

Penjelasan: Menurut Pasal 80 (1) dari Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal, setiap Pihak yang menandatangani Pernyataan Pendaftaran dalam rangka Penawaran Umum, termasuk direktur dan komisaris Emiten, serta Profesi Penunjang Pasar Modal atau Pihak lain yang memberikan pendapat atau keterangan dalam Prospektus wajib bertanggung jawab atas kerugian yang timbul akibat informasi yang tidak benar atau tidak memuat informasi tentang Fakta Material. Oleh karena itu, baik pembeli Efek maupun pihak yang menawarkan atau menjual Efek bertanggung jawab atas kerugian tersebut.",1,1,
49,Ancaman pidana apa yang berlaku bagi Pihak yang mempengaruhi orang lain untuk melakukan pelanggaran Pasal-Pasal tertentu?,"A). Pidana kurungan
B). Pidana denda
C). Pidana kurungan dan denda
D). Pidana penjara
",C). Pidana kurungan dan denda,Ancaman pidana yang berlaku bagi Pihak yang mempengaruhi orang lain untuk melakukan pelanggaran Pasal-Pasal tertentu adalah D). Pidana penjara. Hal ini sesuai dengan Pasal 108 yang mengatur bahwa ancaman pidana penjara dan pidana denda berlaku bagi Pihak yang mempengaruhi Pihak lain untuk melakukan pelanggaran pasal-pasal yang dimaksud.,0,0,
,,,,,41,,
