,q,ch,a,answer_mcq,score,score_by_ai,
27,Siapakah yang dapat menjadi Penerima Kuasa secara elektronik menurut Pasal 30?,"A) Anggota Direksi Perusahaan Terbuka
B) Pihak yang tidak terdaftar di dalam sistem e-RUPS atau sistem yang disediakan oleh Perusahaan Terbuka
C) Partisipan yang mengadministrasikan sub rekening efek/efek milik pemegang saham
D) Karyawan Perusahaan Terbuka",C) Partisipan yang mengadministrasikan sub rekening efek/efek milik pemegang saham,"Jawab: C) Partisipan yang mengadministrasikan sub rekening efek/efek milik pemegang saham

Alasan: Pasal 30 ayat (1) UU No. 8 Tahun 1995 tentang Jasa Keuangan menyebutkan bahwa pihak yang dapat menjadi Penerima Kuasa secara elektronik meliputi partisipan yang mengadministrasikan sub rekening efek/efek milik pemegang saham. Hal ini dibuktikan dengan kalimat ""Partisipan yang mengadministrasikan sub rekening efek/efek milik pemegang saham"" yang tercantum dalam ayat (1) Pasal 30.",1,1,
28,Apa saja kewajiban yang harus dipenuhi oleh Penyedia e-RUPS menurut Pasal 35?,"A) Hanya memiliki mekanisme operasional standar penyelenggaraan e-RUPS
B) Menyediakan hak akses kepada Pengguna e-RUPS dan informasi perubahan sistem
C) Memastikan keamanan dan keandalan e-RUPS serta menyimpan semua data pelaksanaan e-RUPS
D) Bertanggung jawab atas kerugian akibat kegagalan sistem teknologi informasi",C) Memastikan keamanan dan keandalan e-RUPS serta menyimpan semua data pelaksanaan e-RUPS,"Jawab: C) Memastikan keamanan dan keandalan e-RUPS serta menyimpan semua data pelaksanaan e-RUPS.

Pasal 35 (1) menetapkan beberapa kewajiban yang harus dipenuhi oleh Penyedia e-RUPS, yaitu:

a. Terdaftar sebagai penyelenggara sistem elektronik dari instansi berwenang sesuai dengan ketentuan peraturan perundang-undangan;
b. Menyediakan hak akses kepada Pengguna e-RUPS untuk dapat mengakses e-RUPS;
c. Memiliki dan menetapkan mekanisme atau prosedur operasional standar penyelenggaraan e-RUPS;
d. Memastikan terselenggaranya kegiatan dan keberlangsungan kegiatan e-RUPS;
e. Memastikan keamanan dan keandalan e-RUPS;
f. Menginformasikan kepada Pengguna e-RUPS dalam hal terdapat perubahan atau pengembangan sistem termasuk penambahan layanan dan fitur e-RUPS;
g. Menyediakan rekam jejak audit terhadap seluruh kegiatan pemrosesan data di e-RUPS untuk keperluan pengawasan, penegakan hukum, penyelesaian sengketa, verifikasi, dan pengujian;

Karena itu, dari daftar opsi yang diberikan, jawaban yang benar adalah C) Memastikan keamanan dan keandalan e-RUPS serta menyimpan semua data pelaksanaan e-RUPS.",1,1,
29,Kapan ketentuan mengenai prosedur dan tata cara penggunaan e-RUPS berlaku efektif menurut Pasal 36?,"A) Setelah disetujui oleh Perusahaan Terbuka
B) Setelah disetujui oleh Pengguna e-RUPS
C) Setelah memperoleh persetujuan Otoritas Jasa Keuangan
D) Setelah disahkan oleh Rapat Umum Pemegang Saham",C) Setelah memperoleh persetujuan Otoritas Jasa Keuangan,"Jawab: C) Setelah memperoleh persetujuan Otoritas Jasa Keuangan.

Pasal 36 ayat (2) mengatur bahwa ketentuan mengenai prosedur dan tata cara penggunaan e-RUPS berlaku efektif setelah memperoleh persetujuan Otoritas Jasa Keuangan.",1,0,
30,"Apa yang harus dilakukan Perusahaan Terbuka ketika melakukan Transaksi Afiliasi, menurut Pasal 4?","A) Hanya menggunakan Penilai untuk menentukan nilai wajar Transaksi Afiliasi.
B) Mengumumkan keterbukaan informasi atas setiap Transaksi Afiliasi kepada masyarakat.
C) Menyampaikan keterbukaan informasi dan dokumen pendukung kepada Otoritas Jasa Keuangan.
D) Terlebih dahulu memperoleh persetujuan Pemegang Saham Independen dalam RUPS dalam beberapa kondisi tertentu.",C) Menyampaikan keterbukaan informasi dan dokumen pendukung kepada Otoritas Jasa Keuangan.,"Jawab: D) Terlebih dahulu memperoleh persetujuan Pemegang Saham Independen dalam RUPS dalam beberapa kondisi tertentu.

Pasal 4 ayat (1) yang terdapat dalam context menetapkan bahwa Perusahaan Terbuka yang melakukan Transaksi Afiliasi wajib menggunakan Penilai untuk menentukan nilai wajar dari objek Transaksi Afiliasi dan/atau kewajaran transaksi, mengumumkan keterbukaan informasi atas setiap Transaksi Afiliasi kepada masyarakat, menyampaikan keterbukaan informasi dan dokumen pendukungnya kepada Otoritas Jasa Keuangan, dan terlebih dahulu memperoleh persetujuan Pemegang Saham Independen dalam RUPS dalam beberapa kondisi tertentu. Oleh karena itu, jawaban yang benar adalah D) Terlebih dahulu memperoleh persetujuan Pemegang Saham Independen dalam RUPS dalam beberapa kondisi tertentu.",0,0,
31,Berapa lama jangka waktu antara tanggal penilaian nilai wajar oleh Penilai dan tanggal pelaksanaan RUPS jika Transaksi Afiliasi memerlukan persetujuan RUPS?,"A) Paling lambat 3 bulan.
B) Paling lama 6 bulan.
C) Paling singkat 1 bulan.
D) Tidak ada ketentuan waktu yang ditetapkan.",B) Paling lama 6 bulan.,"Jawab:
B) Paling lama 6 bulan.

Penjelasan:
Dasar dari jawaban ini adalah Pasal 11 ayat (2) Peraturan Nomor KEP-33/POJK.04/2021 tentang Penetapan Aturan Penilaian Independent Perusahaan Terbuka. Pasal ini menetapkan bahwa jangka waktu antara tanggal penilaian dan tanggal pelaksanaan RUPS wajib paling lama 6 (enam) bulan. Hal ini berlaku jika Transaksi Afiliasi memerlukan persetujuan RUPS. Oleh karena itu, jawaban yang benar adalah B) Paling lama 6 bulan.",1,0,
32,Kapan Perusahaan Terbuka tidak wajib memenuhi ketentuan sebagaimana dimaksud dalam Pasal 4 ayat (1) menurut Pasal 8?,"A) Ketika Transaksi Afiliasi dilakukan oleh Perusahaan Terbuka dalam rangka menghasilkan pendapatan usaha secara rutin, berulang, dan/atau berkelanjutan.
B) Jika Transaksi Afiliasi merupakan kegiatan usaha yang dijalankan hanya untuk sekali transaksi.
C) Jika Otoritas Jasa Keuangan menetapkan bahwa Perusahaan Terbuka tidak wajib melakukannya.
D) Ketika Transaksi Afiliasi melibatkan pihak yang bertransaksi di luar lembaga jasa keuangan.","A) Ketika Transaksi Afiliasi dilakukan oleh Perusahaan Terbuka dalam rangka menghasilkan pendapatan usaha secara rutin, berulang, dan/atau berkelanjutan","Jawab: A) Ketika Transaksi Afiliasi dilakukan oleh Perusahaan Terbuka dalam rangka menghasilkan pendapatan usaha secara rutin, berulang, dan/atau berkelanjutan.

Alasan: Pasal 8 ayat (1) Peraturan Otoritas Jasa Keuangan mengenai pengambilalihan Perusahaan Terbuka menyatakan bahwa Perusahaan Terbuka tidak wajib memenuhi ketentuan sebagaimana dimaksud dalam Pasal 4 ayat (1), jika melakukan Transaksi Afiliasi yang merupakan kegiatan usaha yang dijalankan dalam rangka menghasilkan pendapatan usaha dan dijalankan secara rutin, berulang, dan/atau berkelanjutan. Oleh karena itu, jawaban yang benar adalah A.",1,0,
33,Apa yang diwajibkan oleh Pasal 9 terkait dengan Transaksi Afiliasi menurut peraturan ini?,"A) Melaporkan Transaksi Afiliasi kepada Otoritas Jasa Keuangan.
B) Melakukan prosedur sebagaimana dimaksud dalam Pasal 3 setiap kali melakukan Transaksi Afiliasi.
C) Mengumumkan Transaksi Afiliasi kepada masyarakat.
D) Mengungkapkan Transaksi Afiliasi dalam laporan tahunan atau laporan keuangan tahunan dengan informasi tertentu.",D) Mengungkapkan Transaksi Afiliasi dalam laporan tahunan atau laporan keuangan tahunan dengan informasi tertentu.,"Jawab: D) Mengungkapkan Transaksi Afiliasi dalam laporan tahunan atau laporan keuangan tahunan dengan informasi tertentu.

Pasal 9 yang tercantum dalam konteks menjelaskan tentang pengungkapan transaksi afiliasi dalam laporan tahunan atau laporan keuangan tahunan perusahaan terbuka dengan mencakup informasi tertentu. Hal ini menjadi tanggung jawab perusahaan terbuka yang melakukan transaksi afiliasi.

Ketentuan ini ditetapkan dalam Pasal 9 ayat (1) Peraturan Nomor IX.E.1, lampiran Keputusan Ketua Badan Pengawas Pasar Modal Nomor: Kep-412/BL/2009 tentang Transaksi Afiliasi dan Benturan Kepentingan Transaksi Tertentu.",1,0,
34,Apa yang diwajibkan oleh Pasal 14 terkait dengan Transaksi Benturan Kepentingan menurut peraturan ini?,"A) Perusahaan Terbuka harus melaporkan Transaksi Benturan Kepentingan kepada Otoritas Jasa Keuangan.
B) Perusahaan Terbuka tidak perlu memenuhi ketentuan Pasal 11 ayat (1) jika Transaksi Benturan Kepentingan memenuhi kriteria tertentu.
C) Prosedur sebagaimana dimaksud dalam Pasal 11 ayat (1) harus tetap dilakukan oleh Perusahaan Terbuka dalam setiap Transaksi Benturan Kepentingan.
D) Transaksi Benturan Kepentingan selalu memerlukan persetujuan RUPS.",B) Perusahaan Terbuka tidak perlu memenuhi ketentuan Pasal 11 ayat (1) jika Transaksi Benturan Kepentingan memenuhi kriteria tertentu.,"Jawab: B) Perusahaan Terbuka tidak perlu memenuhi ketentuan Pasal 11 ayat (1) jika Transaksi Benturan Kepentingan memenuhi kriteria tertentu.

Pasal 14 dari Peraturan Otoritas Jasa Keuangan terkait Transaksi Benturan Kepentingan menjelaskan bahwa Perusahaan Terbuka tidak wajib memenuhi ketentuan sebagaimana dimaksud dalam Pasal 11 ayat (1), jika melakukan Transaksi Benturan Kepentingan tertentu. Hal ini tercermin pada kalimat ""Perusahaan Terbuka tidak wajib memenuhi ketentuan sebagaimana dimaksud dalam Pasal 11 ayat (1), jika melakukan Transaksi Benturan Kepentingan sebagai berikut: a. penggunaan setiap fasilitas yang diberikan oleh Perusahaan Terbuka kepada anggota direksi, anggota dewan komisaris, dan/atau Pemegang Saham Utama dalam hal Pemegang Saham Utama juga menjabat sebagai Pegawai, dan fasilitas tersebut langsung berhubungan dengan tanggung jawab mereka.""

Oleh karena itu, jawaban yang benar adalah B) Perusahaan Terbuka tidak perlu memenuhi ketentuan Pasal 11 ayat (1) jika Transaksi Benturan Kepentingan memenuhi kriteria tertentu.",1,1,
35,Apa yang harus dilakukan oleh Perusahaan Terbuka jika Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang telah disetujui dalam RUPS tidak dilaksanakan dalam jangka waktu 12 bulan sejak tanggal persetujuan RUPS?,"A) Hanya mengungkapkan dalam laporan tahunan.
B) Memberikan penjelasan khusus atas ketidakterlaksanaan transaksi dalam RUPS terdekat.
C) Mengikuti prosedur dalam Peraturan Otoritas Jasa Keuangan ini dan memperoleh persetujuan RUPS kembali.
D) Menunda pelaksanaan dan meminta persetujuan Pemegang Saham Independen dalam RUPS berikutnya.",A) Hanya mengungkapkan dalam laporan tahunan.,"Jawab: B) Memberikan penjelasan khusus atas ketidakterlaksanaan transaksi dalam RUPS terdekat.

Pasal 17 (1) Peraturan Otoritas Jasa Keuangan mengenai Pengungkapan dan Pelaksanaan Kembali Prosedur Transaksi Afiliasi dan Transaksi Benturan Kepentingan menetapkan bahwa jika Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang telah disetujui dalam RUPS (Rencana Umum Penetapan Saham) belum dilaksanakan dalam jangka waktu 12 bulan sejak tanggal persetujuan RUPS, Perusahaan Terbuka wajib mengungkapkan dalam laporan tahunan dan memberikan penjelasan khusus atas ketidakterlaksanaan transaksi dalam RUPS terdekat. Oleh sebab itu, jawaban yang benar adalah B) Memberikan penjelasan khusus atas ketidakterlaksanaan transaksi dalam RUPS terdekat.",0,0,
36,Kapan Perusahaan Terbuka dapat memintakan persetujuan RUPS kembali untuk Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang tidak disetujui oleh Pemegang Saham Independen?,"A) Setelah 6 bulan sejak pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.
B) Setiap saat tanpa batasan waktu.
C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.
D) Setelah mendapatkan persetujuan dari Otoritas Jasa Keuangan.",C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.,"Jawab: C) Paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui transaksi tersebut.

Penjelasan: Hal ini didasarkan pada Pasal 18 Peraturan Otoritas Jasa Keuangan (OJK) Nomor 32/POJK.04/2014 tentang Penanaman Modal Asing dan Penanaman Modal Dalam Negeri. Setelah Perusahaan Terbuka mengalami Transaksi Afiliasi atau Transaksi Benturan Kepentingan yang tidak disetujui oleh Pemegang Saham Independen, maka rencana transaksi tersebut hanya dapat dimintakan persetujuan RUPS kembali setelah paling singkat 12 bulan setelah pelaksanaan RUPS yang tidak menyetujui Transaksi Afiliasi atau Transaksi Benturan Kepentingan tersebut.",1,0,
37,Apa yang diwajibkan oleh Perusahaan Terbuka dalam hal pengumuman Transaksi Afiliasi dan/atau Transaksi Benturan Kepentingan jika sahamnya tercatat pada bursa efek?,"A) Pengumuman melalui Situs Web Perusahaan Terbuka saja.
B) Pengumuman melalui Situs Web Perusahaan Terbuka dan 1 (satu) surat kabar harian berbahasa Indonesia.
C) Pengumuman melalui Situs Web Perusahaan Terbuka dan Situs Web bursa efek.
D) Pengumuman melalui Surat Kabar Nasional saja.",C) Pengumuman melalui Situs Web Perusahaan Terbuka dan Situs Web bursa efek.,"Jawab: C) Pengumuman melalui Situs Web Perusahaan Terbuka dan Situs Web bursa efek.

Alasan: Hal itu disesuaikan dengan Pasal 19 ayat (1) dan (2) dari Peraturan Otoritas Jasa Keuangan yang relevan. Pasal 19 (1) menyatakan bahwa pengumuman Transaksi Afiliasi dan/atau Transaksi Benturan Kepentingan wajib dilakukan melalui paling sedikit dua media, yaitu Situs Web Perusahaan Terbuka dan Situs Web bursa efek. Oleh karena itu, pilihan yang tepat adalah C.",1,0,
38,Kapan bukti pengumuman Transaksi Afiliasi dan/atau Transaksi Benturan Kepentingan yang dilakukan melalui surat kabar harian harus disampaikan kepada Otoritas Jasa Keuangan?,"A) Paling lambat 1 (satu) hari setelah tanggal pengumuman.
B) Paling lambat 2 (dua) hari setelah tanggal pengumuman.
C) Pada saat pelaksanaan RUPS.
D) Bukti pengumuman tidak perlu disampaikan.",B) Paling lambat 2 (dua) hari setelah tanggal pengumuman.,"The answer is B) Paling lambat 2 (dua) hari setelah tanggal pengumuman.

According to the regulation mentioned in the context, which is Peraturan Otoritas Jasa Keuangan (regarding capital market), if a public company conducts a Transaksi Afiliasi (Affiliate Transaction) and/or Transaksi Benturan Kepentingan (Conflict of Interest Transaction), the announcement must be made through at least two media: the company's website and one national daily newspaper in Indonesian or a website provided by the Financial Services Authority (OJK). If the announcement is made through a daily newspaper, the proof of the announcement must be submitted to the OJK no later than 2 (dua) working days after the date of the announcement (Pasal 20 ayat 3).",1,0,
39,Apakah yang dapat menjadi sanksi administratif yang dikenakan oleh Otoritas Jasa Keuangan berdasarkan Pasal 27?,"A) Pemberian penghargaan.
B) Peringatan tertulis, denda, pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, pembatalan pendaftaran.
C) Bebas dari sanksi.
D) Delegasi wewenang.","B) Peringatan tertulis, denda, pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, pembatalan pendaftaran.","Berdasarkan Pasal 27 yang terdapat dalam context yang Anda berikan, sanksi administratif yang dapat dikenakan Otoritas Jasa Keuangan meliputi: peringatan tertulis, denda, pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, dan pembatalan pendaftaran. Opsi A dan C tidak relevan dalam hal ini, sementara opsi D yang berarti delegasi wewenang bukan sanksi administratif. Opsi B yang termasuk peringatan tertulis dan denda, serta pembatasan, pembekuan, pencabutan, pembatalan kegiatan atau izin usaha adalah yang paling tepat.

Sanksi administratif sebagaimana dimaksud dalam Pasal 27 ayat (4) dan tindakan tertentu sebagaimana dimaksud dalam Pasal 28 dapat diterapkan atau ditindak lanjuti oleh Otoritas Jasa Keuangan terhadap pihak yang melakukan pelanggaran ketentuan Peraturan Otoritas Jasa Keuangan. Hal ini diatur dalam Pasal 28 dan Pasal 29 dari context yang Anda berikan.",0,0,
40,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" dalam Peraturan Otoritas Jasa Keuangan ini?","A) Pihak yang melakukan Penawaran Umum efek bersifat ekuitas.
B) Perseroan yang sahamnya dimiliki oleh lebih dari 300 pemegang saham dan memiliki modal disetor paling sedikit Rp3.000.000.000,00.
C) Emiten dengan Aset Skala Menengah.
D) Emiten yang memiliki total aset lebih dari Rp50.000.000.000,00.",A) Pihak yang melakukan Penawaran Umum efek bersifat ekuitas.,"Dalam Peraturan Otoritas Jasa Keuangan yang telah disebutkan, yaitu Peraturan OJK Nomor 11/POJK.04/2014, Peraturan OJK Nomor 10/POJK.04/2014, Peraturan OJK Nomor 32/POJK.04/2014, dan Peraturan OJK Nomor 33/POJK.04/2014, yang dimaksud dengan ""Perusahaan Terbuka"" adalah:

""Perusahaan Terbuka adalah Emiten yang telah melakukan Penawaran Umum Efek bersifat ekuitas atau Perusahaan Publik.""

Jawab: A

Kutipan dari Peraturan OJK Nomor 11/POJK.04/2014:
Pasal 1 ayat (1)
""Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan: 1. Perusahaan Terbuka adalah Emiten yang telah melakukan Penawaran Umum Efek bersifat ekuitas atau Perusahaan Publik.""

Kutipan dari Peraturan OJK Nomor 10/POJK.04/2014:
Pasal 1 ayat (1)
""Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan: 1. Perusahaan Terbuka adalah Emiten yang telah melakukan Penawaran Umum Efek bersifat ekuitas atau Perusahaan Publik.""

Kutipan dari Peraturan OJK Nomor 32/POJK.04/2014:
Pasal 1 ayat (1)
""Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan: 1. Perusahaan Terbuka adalah Emiten yang telah melakukan Penawaran Umum Efek bersifat ekuitas atau Perusahaan Publik.""

Kutipan dari Peraturan OJK Nomor 33/POJK.04/2014:
Pasal 1 ayat (1)
""Dalam Peraturan Otoritas Jasa Keuangan ini, yang dimaksud dengan: 1. Perusahaan Terbuka adalah Emiten yang telah melakukan Penawaran Umum Efek bersifat ekuitas atau Perusahaan Publik.""",1,0,
41,"Apa yang dianggap sebagai ""Laporan Keuangan Berkala"" dalam konteks Peraturan Otoritas Jasa Keuangan ini?","A) Laporan pertanggungjawaban direksi dan dewan komisaris.
B) Laporan tahunan.
C) Laporan keuangan tahunan dan laporan keuangan tengah tahunan Emiten atau Perusahaan Publik.
D) Laporan keuangan tengah tahunan saja.",C) Laporan keuangan tahunan dan laporan keuangan tengah tahunan Emiten atau Perusahaan Publik.,"Jawab: C) Laporan keuangan tahunan dan laporan keuangan tengah tahunan Emiten atau Perusahaan Publik.

Keterangan: Dalam konteks Peraturan Otoritas Jasa Keuangan, ""Laporan Keuangan Berkala"" didefinisikan sebagai laporan keuangan tahunan dan laporan keuangan tengah tahunan yang disampaikan oleh Emiten atau Perusahaan Publik. Hal ini ditetapkan dalam Peraturan Nomor X.K.2 tentang Penyampaian Laporan Keuangan Berkala Emiten atau Perusahaan Publik, lampiran Keputusan Ketua Badan Pengawas Pasar Modal dan Lembaga Keuangan Nomor: Kep-346/BL/2011 tanggal 5 Juli 2011. Namun, terdapat beberapa substansi dalam peraturan tersebut yang harus disesuaikan dengan perkembangan kebijakan Otoritas Jasa Keuangan sebagaimana telah dimuat dalam beberapa Peraturan Otoritas Jasa Keuangan terkait, antara lain peraturan yang terkait laporan keuangan dan penyampaian informasi kepada masyarakat.",1,1,
42,Apa yang menjadi kewajiban Emiten Skala Kecil dan Emiten Skala Menengah terkait dengan penggunaan bahasa dalam pengumuman dan laporan berdasarkan Pasal 9 Peraturan Otoritas Jasa Keuangan?,"A) Menggunakan paling sedikit bahasa Indonesia dalam semua informasi dan laporan.
B) Menggunakan bahasa asing dalam pengumuman dan laporan.
C) Menggunakan bahasa asing, khususnya bahasa Inggris, dalam pengumuman dan laporan.
D) Menggunakan bahasa asing dengan syarat informasi yang sama juga disajikan dalam bahasa Indonesia.","C) Menggunakan bahasa asing, khususnya bahasa Inggris, dalam pengumuman dan laporan.","Jawab: D) Menggunakan bahasa asing dengan syarat informasi yang sama juga disajikan dalam bahasa Indonesia.

Pasal 9 Peraturan Otoritas Jasa Keuangan menetapkan bahwa Emiten Skala Kecil dan Emiten Skala Menengah wajib menggunakan paling sedikit bahasa Indonesia dalam menyajikan informasi pada beberapa media, seperti Situs Web, pengumuman atas Informasi atau Fakta Material, dan Laporan Tahunan. Namun, dalam hal informasi disajikan dalam bahasa asing, maka harus memuat informasi yang sama dengan informasi yang disajikan dalam bahasa Indonesia (syarat Pasal 9 ayat 2 dan 3). Hal ini menunjukkan bahwa Emiten Skala Kecil dan Emiten Skala Menengah diizinkan menggunakan bahasa asing, tetapi harus selalu menyertakan informasi yang sama dalam bahasa Indonesia.",0,0,
43,Apa yang menjadi kewajiban Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek terkait dengan pengumuman dan keterbukaan informasi?,"A) Melakukan pengumuman hanya melalui Situs Web Emiten.
B) Melakukan pengumuman melalui Situs Web Emiten dan Situs Web bursa Efek.
C) Melakukan pengumuman melalui Situs Web Emiten dan surat kabar harian berbahasa Indonesia.
D) Melakukan pengumuman melalui surat kabar harian berbahasa Indonesia saja.",B) Melakukan pengumuman melalui Situs Web Emiten dan Situs Web bursa Efek.,"Jawab: B) Melakukan pengumuman melalui Situs Web Emiten dan Situs Web bursa Efek.

Penjelasan:
Berdasarkan Peraturan Otoritas Jasa Keuangan mengenai Keterbukaan atas Informasi atau Fakta Material oleh Emiten atau Perusahaan Publik, Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek wajib melakukan pengumuman Informasi atau Fakta Material minimal melalui Situs Web Emiten Skala Kecil atau Emiten Skala Menengah dan Situs Web bursa Efek. Hal ini diatur dalam Pasal 10 (1) dan Pasal 11 dari Peraturan tersebut. Oleh karena itu, jawaban yang benar adalah B) Melakukan pengumuman melalui Situs Web Emiten dan Situs Web bursa Efek.",1,0,
44,Bagaimana cara Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek harus membuat pengumuman terkait Laporan Keuangan Berkala?,"A) Hanya melalui Situs Web Emiten
B) Melalui Situs Web Emiten dan surat kabar harian
C) Melalui Situs Web Emiten dan Situs Web bursa Efek
D) Melalui konferensi pers",C) Melalui Situs Web Emiten dan Situs Web bursa Efek,"Jawab: C) Melalui Situs Web Emiten dan Situs Web bursa Efek

Keterangan: Menurut Peraturan Otoritas Jasa Keuangan mengenai Keterbukaan atas Informasi atau Fakta Material oleh Emiten atau Perusahaan Publik, Emiten Skala Kecil dan Emiten Skala Menengah yang Efeknya tercatat di bursa Efek wajib melakukan pengumuman Laporan Keuangan Berkala melalui Situs Web Emiten dan Situs Web bursa Efek. (Artikel 11 Peraturan Otoritas Jasa Keuangan mengenai Keterbukaan atas Informasi atau Fakta Material oleh Emiten atau Perusahaan Publik)",1,0,
45,Kapan Emiten Skala Kecil dan Emiten Skala Menengah dapat mengadakan Rapat Umum Pemegang Saham baru setelah penolakan Transaksi Afiliasi atau Transaksi Benturan Kepentingan?,"A) Secara langsung setelah penolakan
B) Setelah masa tunggu 6 bulan
C) Setelah masa tunggu 12 bulan
D) Hanya jika disetujui oleh Otoritas Jasa Keuangan",C) Setelah masa tunggu 12 bulan,"Pasal 4 Peraturan Nomor IX.C.7 terbaru mengatur tentang Transaksi Material dan Transaksi Afiliasi bagi Emiten Skala Kecil dan Emiten Skala Menengah. Dalam Peraturan ini, dijelaskan bahwa Emiten Skala Kecil dan Emiten Skala Menengah yang melakukan Penawaran Umum Efek bersifat ekuitas yang melakukan transaksi material dan transaksi afiliasi tidak wajib menggunakan penilai, kecuali transaksi material dan transaksi afiliasi yang membutuhkan persetujuan RUPS. Untuk Transaksi Afiliasi yang telah ditolak, tidak ada aturan yang mencakup masa tunggu untuk mengadakan Rapat Umum Pemegang Saham baru. Oleh karena itu, jawaban yang tepat adalah:

C) Setelah masa tunggu 12 bulan

Namun, perlu diketahui bahwa dalam keadaan lain, seperti ditentukan oleh Otoritas Jasa Keuangan atau dalam peraturan lain yang relevan, masa tunggu untuk mengadakan Rapat Umum Pemegang Saham baru setelah penolakan Transaksi Afiliasi atau Transaksi Benturan Kepentingan dapat berbeda.",1,1,
46,Apa tujuan utama pendirian Lembaga Kliring dan Penjaminan (LKP) dan Lembaga Penyimpanan dan Penyelesaian (LPP)?,"A) Menyediakan layanan perbankan
B) Menawarkan saran investasi
C) Mengatur pasar saham
D) Memfasilitasi kliring dan penyelesaian efisien Transaksi Efek",D) Memfasilitasi kliring dan penyelesaian efisien Transaksi Efek,"D) Memfasilitasi kliring dan penyelesaian efisien Transaksi Efek

Referensi: Peraturan Presiden Republik Indonesia Nomor 13 Tahun 2021, Pasal 14 (1) dan (2)
Lembaga Kliring dan Penjaminan didirikan dengan tujuan menyediakan sarana kliring dan/atau penjaminan penyelesaian Transaksi Efek yang teratur, wajar, dan efisien. Sedangkan Lembaga Penyimpanan dan Penyelesaian didirikan dengan tujuan menyediakan jasa Kustodian sentral dan penyelesaian transaksi yang teratur, wajar, dan efisien.",1,1,
47,Siapakah yang dapat melakukan kegiatan usaha sebagai Wali Amanat?,"A). Bank Umum dan Pihak lain yang ditetapkan dengan Peraturan Pemerintah.
B). Hanya Pihak lain yang ditetapkan dengan Peraturan Pemerintah.
C). Hanya Bank umum.
D). Semua lembaga keuangan.",A). Bank Umum dan Pihak lain yang ditetapkan dengan Peraturan Pemerintah.,"Based on the provided context, the regulation regarding this matter is Peraturan Pemerintah (Government Regulation) No. 45/2018 about Financial Services and Industry. Specifically, for the Wali Amanat (Fiduciary) aspect, the relevant articles are Chapter X and Chapter XI.

According to Pasal 59 (1) of this regulation, kegiatan usaha sebagai Wali Amanat (the business activity as a Fiduciary) can be carried out by a bank umum (commercial bank). Furthermore, Pasal 60 (2) mentions that the application for registration as a Fiduciary must be submitted to the Otoritas Jasa Keuangan (Financial Services Authority) using a form that complies with the regulations of the Otoritas Jasa Keuangan regarding the permit for a Securities Administrative Bureau.

Therefore, the correct answer to the question ""Siapakah yang dapat melakukan kegiatan usaha sebagai Wali Amanat?"" (Who can carry out the business activity as a Fiduciary?) is:

A) Bank Umum and Pihak lain yang ditetapkan dengan Peraturan Pemerintah (other parties designated by Government Regulation).

This is because, based on the provided context, the parties who can carry out the business activity as a Fiduciary are Bank Umum and other parties designated by Government Regulation.",1,0,
48,Siapakah yang bertanggung jawab atas kerugian akibat informasi yang tidak benar atau tidak memuat informasi tentang Fakta Material dalam Prospektus?,"A). Hanya pembeli Efek.
B). Baik pembeli Efek maupun pihak yang menawarkan atau menjual Efek.
C). Hanya pihak yang menawarkan atau menjual Efek.
D). Tidak ada yang bertanggung jawab.",B). Baik pembeli Efek maupun pihak yang menawarkan atau menjual Efek.,"Based on the provided context, the regulation that applies to this question is Undang-undang Nomor 8 Tahun 1995 tentang Pasar Modal (Capital Market Law No. 8/1995).

According to Pasal 80 (1) of the regulation, any party who signs the registration statement, including the directors and commissioners of the issuer, as well as professionals who provide opinions or statements included in the registration statement, are responsible for any losses resulting from false or incomplete information about material facts. This is as long as the information is misleading, and the registration statement has become effective.

Therefore, the answer to the question is:

B). Baik pembeli Efek maupun pihak yang menawarkan atau menjual Efek.

Both the buyers and sellers of the securities are responsible for any losses resulting from false or incomplete information about material facts in the prospectus.",1,1,
